"unique_id","ds","harmonic_reg","y"
"region1-cantonGE",2020-03-25,4.57221703064852,4.31176868960489
"region1-cantonGE",2020-03-26,3.60197130868951,3.7173612780832
"region1-cantonGE",2020-03-27,4.5142719072894,4.64624900342639
"region1-cantonGE",2020-03-28,2.98960480359923,1.88299697835478
"region1-cantonGE",2020-03-29,1.26262064200468,0.783106778505054
"region1-cantonGE",2020-03-30,4.67200891573672,3.98041414409456
"region1-cantonGE",2020-03-31,4.32482600994081,3.99700201930037
"region1-cantonGE",2020-04-01,4.15469344177578,4.13750573564975
"region1-cantonGE",2020-04-02,4.03461882535754,3.4860066475952
"region1-cantonGE",2020-04-03,3.99892890264042,3.62039040564253
"region1-cantonGE",2020-04-04,2.01287982843838,1.48168897550328
"region1-cantonGE",2020-04-05,0.39101161237067,0.66353537154391
